# Source : données simulées de façon réaliste pour démonstration
# Projet : Segmentation de clients - Application K-Means
# Date de génération : 2024
CustomerID,Recency,Frequency,Monetary,LastPurchaseDate
C484,321,3,64,2024-05-08
C451,205,3,194,2024-06-18
C383,145,7,492,2024-08-08
C373,130,1,454,2024-12-15
C495,249,1,188,2024-09-27
C278,89,3,222,2024-11-25
C079,28,55,4393,2024-12-16
C485,299,5,145,2024-05-25
C099,1,44,2815,2024-12-31
C382,144,8,324,2024-10-11
C040,1,44,2502,2024-12-31
C366,179,5,321,2024-11-29
C180,53,39,1974,2024-11-17
C017,20,67,3390,2024-12-25
C384,132,1,23,2024-09-15
C391,152,7,311,2024-12-03
C399,153,6,304,2024-10-30
C256,91,8,320,2024-12-23
C403,347,5,72,2024-02-26
C094,1,87,2459,2024-12-31
C201,47,31,1588,2024-12-14
C465,365,3,54,2024-05-29
C288,71,4,24,2024-12-03
C346,115,8,90,2024-10-19
C139,53,13,1812,2024-12-02
C029,25,46,4568,2024-12-08
C268,163,2,19,2024-12-27
C470,359,2,106,2024-12-30
C431,358,2,109,2024-04-18
C135,43,23,1743,2024-12-27
C088,25,68,4961,2024-12-18
C426,244,1,190,2024-07-15
C004,24,92,4919,2024-12-08
C061,24,56,2698,2024-12-15
C140,37,35,1021,2024-12-27
C034,9,67,4182,2024-12-23
C215,19,39,1262,2024-12-15
C048,22,67,4625,2024-12-22
C096,30,77,4277,2024-12-19
C056,1,90,3257,2024-12-30
C321,147,6,485,2024-10-30
C105,74,10,1639,2024-10-30
C447,315,2,184,2024-10-09
C054,9,42,2709,2024-12-24
C174,19,38,1688,2024-12-26
C388,45,10,117,2024-12-30
C296,76,4,341,2024-11-17
C155,24,14,956,2024-12-08
C057,24,54,3631,2024-12-08
C025,23,99,3016,2024-12-24
C497,265,2,173,2024-04-14
C083,23,48,3682,2024-12-16
C414,336,3,162,2024-05-20
C377,54,2,98,2024-12-20
C018,12,100,2775,2024-12-29
C244,32,35,1305,2024-12-17
C406,202,5,14,2024-11-08
C272,38,8,47,2024-11-27
C095,19,61,3045,2024-12-18
C466,232,4,111,2024-07-16
C446,238,5,166,2024-10-18
C197,31,18,1428,2024-12-11
C398,169,10,302,2024-11-01
C101,31,21,1743,2024-12-02
C219,64,11,1297,2024-11-11
C190,17,25,970,2024-12-21
C307,180,1,311,2024-09-22
C113,64,34,907,2024-12-19
C112,53,38,1258,2024-12-06
C430,306,5,167,2024-11-23
C081,1,87,4301,2024-12-30
C045,30,76,4278,2024-12-19
C351,33,10,451,2024-12-03
C205,15,30,1322,2024-12-26
C162,26,38,1756,2024-12-13
C393,45,8,245,2024-12-22
C209,87,23,500,2024-11-11
C260,33,6,127,2024-12-02
C292,39,5,132,2024-12-22
C481,353,3,136,2024-03-10
C274,107,5,385,2024-10-18
C006,12,69,4853,2024-12-30
C182,34,37,955,2024-12-31
C392,91,5,245,2024-11-05
C386,137,7,24,2024-09-03
C243,17,24,1418,2024-12-18
C360,167,1,419,2024-09-01
C062,2,41,4267,2024-12-30
C280,91,4,98,2024-11-20
C230,35,14,1989,2024-12-04
C075,20,80,4976,2024-12-24
C396,175,5,162,2024-07-09
C168,19,12,1738,2024-12-21
